reclat,reclong
32.2,-111
39.78,-100
39.5,-85.5
-27.5,122.37
34.17,-102.13
-33.6,136.1
38.78,-99.33
43,-107.17
38.52,-107.83
38.5,-101.1
42.83,-74.5
32.7,-101.6
34.23,72.08
34.8,-118.5
-44.12,-66.15
39.68,-99.87
52.5,68.8
-29.42,129.5
24.4,81.88
-30.28,152.67
55.78,61.37
53.02,-4.1
45.95,-67.55
12.9,7.15
53.7,79.5
21.3,-157.78
-38.92,-69.2
41.42,-104.1
29.52,35.05
35.28,-112.87
57.8,45.8
-31.93,126.22
43.05,22.86
45.77,3.25
44.83,95.17
9.92,13.98
-10.27,38.77
40.67,-104.32
43.32,-100.77
39.6,-100.12
2,22.67
52.83,13.93
29.5,-98
38.52,-95.78
40.02,-82.87
58.47,8.87
25.92,86.37
-19.53,-48.57
27.5,-99.5
47.71,-119.83
31.78,-106.23
36.08,-84.2
46.1,12.35
33.4,70.6
-30.08,130.03
-31.42,-60.67
38.02,-8.25
36.6,-88.1
56.13,77.27
38.62,-96.02
27.33,-112.33
