,year,id,recclass,mass (g),fall,reclat,reclong,GeoLocation
593,1848,15429,L5,3000.0,Fell,44.5,0.15,"44.5, 0.15"
5454,1849,5343,"Iron, IIAB",16500.0,Found,34.7,-81.2,"34.7, -81.2"
640,1849,16720,H4,8600.0,Fell,35.25,-80.5,"35.25, -80.5"
12551,1849,10835,Iron,7.3,Found,32.7,128.85,"32.7, 128.85"
5178,1850,5116,Iron,500.0,Found,37.5,-79.75,"37.5, -79.75"
37442,1850,23498,"Iron, IIIAB",4000.0,Found,42.92,-76.78,"42.92, -76.78"
32010,1850,18838,"Iron, IAB-MG",600.0,Found,40.43,-80.0,"40.43, -80.0"
910,1850,23521,Diogenite,4000.0,Fell,23.1,87.3,"23.1, 87.3"
38081,1850,24061,"Iron, ungrouped",975000.0,Found,31.85,-110.97,"31.85, -110.97"
37383,1850,23461,"Iron, IIIAB",21500.0,Found,53.4,18.45,"53.4, 18.45"
468,1850,12286,H4,135000.0,Fell,38.98,141.62,"38.98, 141.62"
36734,1850,23113,"Iron, IIC",3600.0,Found,37.95,-85.78,"37.95, -85.78"
714,1851,17959,H6,5000.0,Fell,41.63,0.75,"41.63, 0.75"
826,1851,22363,L6,65.0,Fell,46.6,0.25,"46.6, 0.25"
357,1851,11466,H3/4,1000.0,Fell,51.92,8.38,"51.92, 8.38"
5612,1852,5462,"Iron, IVA",90.0,Found,37.23,-80.73,"37.23, -80.73"
36282,1852,22643,"Iron, IID",44000.0,Found,25.33,-104.67,"25.33, -104.67"
154,1852,5181,Aubrite,1500.0,Fell,26.78,82.83,"26.78, 82.83"
134,1852,5113,L5,7000.0,Fell,48.15,24.28,"48.15, 24.28"
1087,1852,30358,H5,13600.0,Fell,14.3,79.77,"14.3, 79.77"
22881,1852,15389,L6,1700.0,Found,50.0,8.27,"50.0, 8.27"
616,1852,16628,L3.7,22700.0,Fell,46.5,25.73,"46.5, 25.73"
5468,1852,5363,"Iron, IIIAB",24300000.0,Found,27.0,-105.1,"27.0, -105.1"
327,1853,10917,L6,18000.0,Fell,37.32,13.57,"37.32, 13.57"
264,1853,7752,L6,577.0,Fell,-4.0,39.5,"-4.0, 39.5"
38163,1853,24122,"Iron, IC",6800.0,Found,34.75,-84.0,"34.75, -84.0"
37905,1853,23891,"Iron, IAB-sLH",27000.0,Found,36.43,-83.75,"36.43, -83.75"
897,1853,23476,LL6,6930.0,Fell,26.75,84.78,"26.75, 84.78"
22878,1854,15381,"Iron, IIIAB",168000.0,Found,44.5,-77.47,"44.5, -77.47"
37781,1854,23774,"Iron, IAB-MG",150.0,Found,50.88,10.52,"50.88, 10.52"
36894,1854,23178,"Iron, IAB-MG",14000.0,Found,48.48,44.82,"48.48, 44.82"
543,1854,14655,L6,1862.0,Fell,52.75,12.9,"52.75, 12.9"
11647,1854,10034,"Iron, IIIAB?",450.0,Found,39.72,-77.3,"39.72, -77.3"
38220,1854,24166,"Iron, IIIAB",18000.0,Found,54.77,113.98,"54.77, 113.98"
9171,1854,7738,"Iron, IVA",21800.0,Found,35.85,-82.7,"35.85, -82.7"
30972,1854,18003,"Iron, IAB-ung",156.0,Found,33.5,-89.0,"33.5, -89.0"
5613,1854,5463,"Iron, IAB-MG",8600000.0,Found,-38.1,145.3,"-38.1, 145.3"
867,1855,22792,H5,1250.0,Fell,27.43,82.08,"27.43, 82.08"
786,1855,18801,Eucrite-pmict,1800.0,Fell,35.3,-86.63,"35.3, -86.63"
143,1855,5135,H/L3.9,7250.0,Fell,53.4,9.1,"53.4, 9.1"
